HGNC ID	Approved symbol	Status	Previous symbols	Alias symbols
HGNC:4415	GNMT	Approved		
HGNC:4416	GNPAT	Approved		DHAPAT, DAPAT, DAP-AT
HGNC:34031	GNPATP	Approved		
HGNC:4417	GNPDA1	Approved	GNPI	GNPDA, HLN, GPI, KIAA0060
HGNC:21526	GNPDA2	Approved		SB52
HGNC:19980	GNPNAT1	Approved		Gpnat1, FLJ10607
HGNC:58524	GNPNAT1P1	Approved		
HGNC:58525	GNPNAT1P2	Approved		
HGNC:58526	GNPNAT1P3	Approved		
HGNC:4418	GNPTA	Symbol Withdrawn		
HGNC:29670	GNPTAB	Approved	GNPTA	KIAA1208, MGC4170
HGNC:23026	GNPTG	Approved	GNPTAG, C16orf27	CAB56184, c316G12.3
HGNC:4419	GNRH1	Approved	GRH, GNRH, LHRH	LNRH
HGNC:4420	GNRH2	Approved		
HGNC:4421	GNRHR	Approved	GRHR	LHRHR
HGNC:16341	GNRHR2	Approved		GNRHR2P
HGNC:39424	GNRHR2P1	Approved		
HGNC:4422	GNS	Approved		
HGNC:4423	GNT1	Symbol Withdrawn		
HGNC:4424	GOLGA1	Approved		golgin-97, MGC33154
HGNC:4425	GOLGA2	Approved		GM130, golgin-95
HGNC:31052	GOLGA2P1	Approved		
HGNC:16479	GOLGA2P2Y	Approved	GOLGA2LY1, GOLGA2P2	
HGNC:32426	GOLGA2P3Y	Approved	GOLGA2LY2, GOLGA2P3	
HGNC:38600	GOLGA2P4	Approved		
HGNC:25315	GOLGA2P5	Approved	GOLGA2L1, GOLGA2B	DKFZp434M0331
HGNC:44948	GOLGA2P6	Approved		
HGNC:49516	GOLGA2P7	Approved		
HGNC:49922	GOLGA2P8	Approved		
HGNC:49921	GOLGA2P9	Approved		
HGNC:26229	GOLGA2P10	Approved		FLJ22795, AgSK1
HGNC:26788	GOLGA2P11	Approved		FLJ38723
HGNC:4426	GOLGA3	Approved		golgin-160, GCP170, MEA-2
HGNC:4427	GOLGA4	Approved		GOLG, GCP2, p230, golgin-240
HGNC:26469	GOLGA4-AS1	Approved		
HGNC:18660	GOLGA4P1	Approved		
HGNC:20727	GOLGA4P2	Approved		
HGNC:43786	GOLGA4P3	Approved		
